Province/State,Country/Region,Lat,Long,Date,Confirmed,Status,Area
Washington,US,47.4009,-121.4905,22-01-2019 00:00,0,Confirmed,"US,Washington"
New York,US,42.1657,-74.9481,22-01-2019 00:00,0,Confirmed,"US,New York"
California,US,36.1162,-119.6816,22-01-2019 00:00,0,Confirmed,"US,California"
Massachusetts,US,42.2302,-71.5301,22-01-2019 00:00,0,Confirmed,"US,Massachusetts"
Diamond Princess,US,35.4437,139.638,22-01-2019 00:00,0,Confirmed,"US,Diamond Princess"
Grand Princess,US,37.6489,-122.6655,22-01-2019 00:00,0,Confirmed,"US,Grand Princess"
Georgia,US,33.0406,-83.6431,22-01-2019 00:00,0,Confirmed,"US,Georgia"
Colorado,US,39.0598,-105.3111,22-01-2019 00:00,0,Confirmed,"US,Colorado"
Florida,US,27.7663,-81.6868,22-01-2019 00:00,0,Confirmed,"US,Florida"
New Jersey,US,40.2989,-74.521,22-01-2019 00:00,0,Confirmed,"US,New Jersey"
Oregon,US,44.572,-122.0709,22-01-2019 00:00,0,Confirmed,"US,Oregon"
Texas,US,31.0545,-97.5635,22-01-2019 00:00,0,Confirmed,"US,Texas"
Illinois,US,40.3495,-88.9861,22-01-2019 00:00,0,Confirmed,"US,Illinois"
Pennsylvania,US,40.5908,-77.2098,22-01-2019 00:00,0,Confirmed,"US,Pennsylvania"
Iowa,US,42.0115,-93.2105,22-01-2019 00:00,0,Confirmed,"US,Iowa"
Maryland,US,39.0639,-76.8021,22-01-2019 00:00,0,Confirmed,"US,Maryland"
North Carolina,US,35.6301,-79.8064,22-01-2019 00:00,0,Confirmed,"US,North Carolina"
South Carolina,US,33.8569,-80.945,22-01-2019 00:00,0,Confirmed,"US,South Carolina"
Tennessee,US,35.7478,-86.6923,22-01-2019 00:00,0,Confirmed,"US,Tennessee"
Virginia,US,37.7693,-78.17,22-01-2019 00:00,0,Confirmed,"US,Virginia"
Arizona,US,33.7298,-111.4312,22-01-2019 00:00,0,Confirmed,"US,Arizona"
Indiana,US,39.8494,-86.2583,22-01-2019 00:00,0,Confirmed,"US,Indiana"
Kentucky,US,37.6681,-84.6701,22-01-2019 00:00,0,Confirmed,"US,Kentucky"
District of Columbia,US,38.8974,-77.0268,22-01-2019 00:00,0,Confirmed,"US,District of Columbia"
Nevada,US,38.3135,-117.0554,22-01-2019 00:00,0,Confirmed,"US,Nevada"
New Hampshire,US,43.4525,-71.5639,22-01-2019 00:00,0,Confirmed,"US,New Hampshire"
Minnesota,US,45.6945,-93.9002,22-01-2019 00:00,0,Confirmed,"US,Minnesota"
Nebraska,US,41.1254,-98.2681,22-01-2019 00:00,0,Confirmed,"US,Nebraska"
Ohio,US,40.3888,-82.7649,22-01-2019 00:00,0,Confirmed,"US,Ohio"
Rhode Island,US,41.6809,-71.5118,22-01-2019 00:00,0,Confirmed,"US,Rhode Island"
Wisconsin,US,44.2685,-89.6165,22-01-2019 00:00,0,Confirmed,"US,Wisconsin"
Connecticut,US,41.5978,-72.7554,22-01-2019 00:00,0,Confirmed,"US,Connecticut"
Hawaii,US,21.0943,-157.4983,22-01-2019 00:00,0,Confirmed,"US,Hawaii"
Oklahoma,US,35.5653,-96.9289,22-01-2019 00:00,0,Confirmed,"US,Oklahoma"
Utah,US,40.15,-111.8624,22-01-2019 00:00,0,Confirmed,"US,Utah"
Kansas,US,38.5266,-96.7265,22-01-2019 00:00,0,Confirmed,"US,Kansas"
Louisiana,US,31.1695,-91.8678,22-01-2019 00:00,0,Confirmed,"US,Louisiana"
Missouri,US,38.4561,-92.2884,22-01-2019 00:00,0,Confirmed,"US,Missouri"
Vermont,US,44.0459,-72.7107,22-01-2019 00:00,0,Confirmed,"US,Vermont"
Alaska,US,61.3707,-152.4044,22-01-2019 00:00,0,Confirmed,"US,Alaska"
Arkansas,US,34.9697,-92.3731,22-01-2019 00:00,0,Confirmed,"US,Arkansas"
Delaware,US,39.3185,-75.5071,22-01-2019 00:00,0,Confirmed,"US,Delaware"
Idaho,US,44.2405,-114.4788,22-01-2019 00:00,0,Confirmed,"US,Idaho"
Maine,US,44.6939,-69.3819,22-01-2019 00:00,0,Confirmed,"US,Maine"
Michigan,US,43.3266,-84.5361,22-01-2019 00:00,0,Confirmed,"US,Michigan"
Mississippi,US,32.7416,-89.6787,22-01-2019 00:00,0,Confirmed,"US,Mississippi"
Montana,US,46.9219,-110.4544,22-01-2019 00:00,0,Confirmed,"US,Montana"
New Mexico,US,34.8405,-106.2485,22-01-2019 00:00,0,Confirmed,"US,New Mexico"
North Dakota,US,47.5289,-99.784,22-01-2019 00:00,0,Confirmed,"US,North Dakota"
South Dakota,US,44.2998,-99.4388,22-01-2019 00:00,0,Confirmed,"US,South Dakota"
West Virginia,US,38.4912,-80.9545,22-01-2019 00:00,0,Confirmed,"US,West Virginia"
Wyoming,US,42.756,-107.3025,22-01-2019 00:00,0,Confirmed,"US,Wyoming"
"Kitsap, WA",US,47.6477,-122.6413,22-01-2019 00:00,0,Confirmed,"US,Kitsap, WA"
"Solano, CA",US,38.3105,-121.9018,22-01-2019 00:00,0,Confirmed,"US,Solano, CA"
"Santa Cruz, CA",US,37.0454,-121.958,22-01-2019 00:00,0,Confirmed,"US,Santa Cruz, CA"
"Napa, CA",US,38.5025,-122.2654,22-01-2019 00:00,0,Confirmed,"US,Napa, CA"
"Ventura, CA",US,34.3705,-119.1391,22-01-2019 00:00,0,Confirmed,"US,Ventura, CA"
"Worcester, MA",US,42.4097,-71.8571,22-01-2019 00:00,0,Confirmed,"US,Worcester, MA"
"Gwinnett, GA",US,33.9191,-84.0167,22-01-2019 00:00,0,Confirmed,"US,Gwinnett, GA"
"DeKalb, GA",US,33.7956,-84.2279,22-01-2019 00:00,0,Confirmed,"US,DeKalb, GA"
"Floyd, GA",US,37.5455,-82.7779,22-01-2019 00:00,0,Confirmed,"US,Floyd, GA"
"Fayette, GA",US,33.4502,-84.4803,22-01-2019 00:00,0,Confirmed,"US,Fayette, GA"
"Gregg, TX",US,32.4893,-94.8521,22-01-2019 00:00,0,Confirmed,"US,Gregg, TX"
"Monmouth, NJ",US,40.2589,-74.124,22-01-2019 00:00,0,Confirmed,"US,Monmouth, NJ"
"Burlington, NJ",US,40.0712,-74.8649,22-01-2019 00:00,0,Confirmed,"US,Burlington, NJ"
"Camden, NJ",US,39.9259,-75.1196,22-01-2019 00:00,0,Confirmed,"US,Camden, NJ"
"Passaic, NJ",US,40.8568,-74.1285,22-01-2019 00:00,0,Confirmed,"US,Passaic, NJ"
"Union, NJ",US,40.6976,-74.2632,22-01-2019 00:00,0,Confirmed,"US,Union, NJ"
"Eagle, CO",US,39.6553,-106.8287,22-01-2019 00:00,0,Confirmed,"US,Eagle, CO"
"Larimer, CO",US,40.6956,-105.5943,22-01-2019 00:00,0,Confirmed,"US,Larimer, CO"
"Arapahoe, CO",US,39.6203,-104.3326,22-01-2019 00:00,0,Confirmed,"US,Arapahoe, CO"
"Gunnison, CO",US,38.5458,-106.9253,22-01-2019 00:00,0,Confirmed,"US,Gunnison, CO"
"Kane, IL",US,41.9879,-88.4016,22-01-2019 00:00,0,Confirmed,"US,Kane, IL"
"Monroe, PA",US,41.0458,-75.2479,22-01-2019 00:00,0,Confirmed,"US,Monroe, PA"
"Philadelphia, PA",US,39.9526,-75.1652,22-01-2019 00:00,0,Confirmed,"US,Philadelphia, PA"
"Norfolk, VA",US,36.8508,-76.2859,22-01-2019 00:00,0,Confirmed,"US,Norfolk, VA"
"Arlington, VA",US,38.8816,-77.091,22-01-2019 00:00,0,Confirmed,"US,Arlington, VA"
"Spotsylvania, VA",US,38.2042,-77.6078,22-01-2019 00:00,0,Confirmed,"US,Spotsylvania, VA"
"Loudoun, VA",US,39.0768,-77.6536,22-01-2019 00:00,0,Confirmed,"US,Loudoun, VA"
"Prince George's, MD",US,38.7849,-76.8721,22-01-2019 00:00,0,Confirmed,"US,Prince George's, MD"
"Pottawattamie, IA",US,41.3912,-95.4778,22-01-2019 00:00,0,Confirmed,"US,Pottawattamie, IA"
"Camden, NC",US,34.2465,-80.607,22-01-2019 00:00,0,Confirmed,"US,Camden, NC"
"Pima, AZ",US,32.0575,-111.6661,22-01-2019 00:00,0,Confirmed,"US,Pima, AZ"
"Noble, IN",US,41.4277,-85.355,22-01-2019 00:00,0,Confirmed,"US,Noble, IN"
"Adams, IN",US,39.8522,-77.2865,22-01-2019 00:00,0,Confirmed,"US,Adams, IN"
"Boone, IN",US,40.0106,-86.4997,22-01-2019 00:00,0,Confirmed,"US,Boone, IN"
"Dane, WI",US,43.0186,-89.5498,22-01-2019 00:00,0,Confirmed,"US,Dane, WI"
"Pierce, WI",US,44.7509,-92.3814,22-01-2019 00:00,0,Confirmed,"US,Pierce, WI"
"Cuyahoga, OH",US,41.4339,-81.6758,22-01-2019 00:00,0,Confirmed,"US,Cuyahoga, OH"
"Weber, UT",US,41.2603,-111.9522,22-01-2019 00:00,0,Confirmed,"US,Weber, UT"
"Bennington County, VT",US,43.0279,-73.135,22-01-2019 00:00,0,Confirmed,"US,Bennington County, VT"
"Carver County, MN",US,44.8254,-93.7842,22-01-2019 00:00,0,Confirmed,"US,Carver County, MN"
"Charlotte County, FL",US,26.8946,-81.9098,22-01-2019 00:00,0,Confirmed,"US,Charlotte County, FL"
"Cherokee County, GA",US,34.2515,-84.4803,22-01-2019 00:00,0,Confirmed,"US,Cherokee County, GA"
"Collin County, TX",US,33.1795,-96.493,22-01-2019 00:00,0,Confirmed,"US,Collin County, TX"
"Jefferson County, KY",US,38.1938,-85.6435,22-01-2019 00:00,0,Confirmed,"US,Jefferson County, KY"
"Jefferson Parish, LA",US,29.6499,-90.1121,22-01-2019 00:00,0,Confirmed,"US,Jefferson Parish, LA"
"Shasta County, CA",US,40.7909,-121.8474,22-01-2019 00:00,0,Confirmed,"US,Shasta County, CA"
"Spartanburg County, SC",US,34.8606,-81.9535,22-01-2019 00:00,0,Confirmed,"US,Spartanburg County, SC"
"Harrison County, KY",US,38.4333,-84.3542,22-01-2019 00:00,0,Confirmed,"US,Harrison County, KY"
"Johnson County, IA",US,41.6699,-91.5984,22-01-2019 00:00,0,Confirmed,"US,Johnson County, IA"
"Berkshire County, MA",US,42.3118,-73.1822,22-01-2019 00:00,0,Confirmed,"US,Berkshire County, MA"
"Davidson County, TN",US,36.1343,-86.822,22-01-2019 00:00,0,Confirmed,"US,Davidson County, TN"
"Douglas County, OR",US,43.1261,-123.2492,22-01-2019 00:00,0,Confirmed,"US,Douglas County, OR"
"Fresno County, CA",US,36.9859,-119.2321,22-01-2019 00:00,0,Confirmed,"US,Fresno County, CA"
"Harford County, MD",US,39.5839,-76.3637,22-01-2019 00:00,0,Confirmed,"US,Harford County, MD"
"Hendricks County, IN",US,39.8065,-86.5401,22-01-2019 00:00,0,Confirmed,"US,Hendricks County, IN"
"Hudson County, NJ",US,40.7453,-74.0535,22-01-2019 00:00,0,Confirmed,"US,Hudson County, NJ"
"Johnson County, KS",US,38.8454,-94.8521,22-01-2019 00:00,0,Confirmed,"US,Johnson County, KS"
"Kittitas County, WA",US,47.175,-120.9319,22-01-2019 00:00,0,Confirmed,"US,Kittitas County, WA"
"Manatee County, FL",US,27.4799,-82.3452,22-01-2019 00:00,0,Confirmed,"US,Manatee County, FL"
"Marion County, OR",US,44.8446,-122.5927,22-01-2019 00:00,0,Confirmed,"US,Marion County, OR"
"Okaloosa County, FL",US,30.5773,-86.6611,22-01-2019 00:00,0,Confirmed,"US,Okaloosa County, FL"
"Polk County, GA",US,34.0132,-85.1479,22-01-2019 00:00,0,Confirmed,"US,Polk County, GA"
"Riverside County, CA",US,33.9533,-117.3961,22-01-2019 00:00,0,Confirmed,"US,Riverside County, CA"
"Shelby County, TN",US,35.1269,-89.9253,22-01-2019 00:00,0,Confirmed,"US,Shelby County, TN"
"St. Louis County, MO",US,38.6103,-90.4125,22-01-2019 00:00,0,Confirmed,"US,St. Louis County, MO"
"Suffolk County, NY",US,40.9849,-72.6151,22-01-2019 00:00,0,Confirmed,"US,Suffolk County, NY"
"Ulster County, NY",US,41.8586,-74.3118,22-01-2019 00:00,0,Confirmed,"US,Ulster County, NY"
"Volusia County, FL",US,29.028,-81.0755,22-01-2019 00:00,0,Confirmed,"US,Volusia County, FL"
"Fairfax County, VA",US,38.9085,-77.2405,22-01-2019 00:00,0,Confirmed,"US,Fairfax County, VA"
"Rockingham County, NH",US,42.9931,-71.0498,22-01-2019 00:00,0,Confirmed,"US,Rockingham County, NH"
"Washington, D.C.",US,38.9072,-77.0369,22-01-2019 00:00,0,Confirmed,"US,Washington, D.C."
"Montgomery County, PA",US,40.229,-75.3879,22-01-2019 00:00,0,Confirmed,"US,Montgomery County, PA"
"Alameda County, CA",US,37.6017,-121.7195,22-01-2019 00:00,0,Confirmed,"US,Alameda County, CA"
"Broward County, FL",US,26.1901,-80.3659,22-01-2019 00:00,0,Confirmed,"US,Broward County, FL"
"Lee County, FL",US,26.663,-81.9535,22-01-2019 00:00,0,Confirmed,"US,Lee County, FL"
"Pinal County, AZ",US,32.8162,-111.2845,22-01-2019 00:00,0,Confirmed,"US,Pinal County, AZ"
"Rockland County, NY",US,41.1489,-73.983,22-01-2019 00:00,0,Confirmed,"US,Rockland County, NY"
"Saratoga County, NY",US,43.0324,-73.936,22-01-2019 00:00,0,Confirmed,"US,Saratoga County, NY"
"Charleston County, SC",US,32.7957,-79.7848,22-01-2019 00:00,0,Confirmed,"US,Charleston County, SC"
"Clark County, WA",US,45.7466,-122.5194,22-01-2019 00:00,0,Confirmed,"US,Clark County, WA"
"Cobb County, GA",US,33.8999,-84.5641,22-01-2019 00:00,0,Confirmed,"US,Cobb County, GA"
"Davis County, UT",US,40.9629,-112.0953,22-01-2019 00:00,0,Confirmed,"US,Davis County, UT"
"El Paso County, CO",US,38.9108,-104.4723,22-01-2019 00:00,0,Confirmed,"US,El Paso County, CO"
"Honolulu County, HI",US,21.307,-157.8584,22-01-2019 00:00,0,Confirmed,"US,Honolulu County, HI"
"Jackson County, OR",US,42.3345,-122.7647,22-01-2019 00:00,0,Confirmed,"US,Jackson County, OR"
"Jefferson County, WA",US,47.7425,-123.304,22-01-2019 00:00,0,Confirmed,"US,Jefferson County, WA"
"Kershaw County, SC",US,34.3672,-80.5883,22-01-2019 00:00,0,Confirmed,"US,Kershaw County, SC"
"Klamath County, OR",US,42.6953,-121.6142,22-01-2019 00:00,0,Confirmed,"US,Klamath County, OR"
"Madera County, CA",US,37.2519,-119.6963,22-01-2019 00:00,0,Confirmed,"US,Madera County, CA"
"Pierce County, WA",US,47.0676,-122.1295,22-01-2019 00:00,0,Confirmed,"US,Pierce County, WA"
"Tulsa County, OK",US,36.1593,-95.941,22-01-2019 00:00,0,Confirmed,"US,Tulsa County, OK"
"Douglas County, CO",US,39.2587,-104.9389,22-01-2019 00:00,0,Confirmed,"US,Douglas County, CO"
"Providence County, RI",US,41.8882,-71.4774,22-01-2019 00:00,0,Confirmed,"US,Providence County, RI"
"Chatham County, NC",US,35.7211,-79.1781,22-01-2019 00:00,0,Confirmed,"US,Chatham County, NC"
"Delaware County, PA",US,39.9078,-75.3879,22-01-2019 00:00,0,Confirmed,"US,Delaware County, PA"
"Douglas County, NE",US,41.3148,-96.1951,22-01-2019 00:00,0,Confirmed,"US,Douglas County, NE"
"Fayette County, KY",US,38.0606,-84.4803,22-01-2019 00:00,0,Confirmed,"US,Fayette County, KY"
"Marion County, IN",US,39.8362,-86.1752,22-01-2019 00:00,0,Confirmed,"US,Marion County, IN"
"Middlesex County, MA",US,42.4672,-71.2874,22-01-2019 00:00,0,Confirmed,"US,Middlesex County, MA"
"Nassau County, NY",US,40.6546,-73.5594,22-01-2019 00:00,0,Confirmed,"US,Nassau County, NY"
"Ramsey County, MN",US,44.9964,-93.0616,22-01-2019 00:00,0,Confirmed,"US,Ramsey County, MN"
"Washoe County, NV",US,40.5608,-119.6035,22-01-2019 00:00,0,Confirmed,"US,Washoe County, NV"
"Wayne County, PA",US,41.6739,-75.2479,22-01-2019 00:00,0,Confirmed,"US,Wayne County, PA"
"Yolo County, CA",US,38.7646,-121.9018,22-01-2019 00:00,0,Confirmed,"US,Yolo County, CA"
"Santa Clara County, CA",US,37.3541,-121.9552,22-01-2019 00:00,0,Confirmed,"US,Santa Clara County, CA"
"Clark County, NV",US,36.0796,-115.094,22-01-2019 00:00,0,Confirmed,"US,Clark County, NV"
"Fort Bend County, TX",US,29.5693,-95.8143,22-01-2019 00:00,0,Confirmed,"US,Fort Bend County, TX"
"Grant County, WA",US,47.1981,-119.3732,22-01-2019 00:00,0,Confirmed,"US,Grant County, WA"
"Santa Rosa County, FL",US,30.769,-86.9824,22-01-2019 00:00,0,Confirmed,"US,Santa Rosa County, FL"
"Williamson County, TN",US,35.9179,-86.8622,22-01-2019 00:00,0,Confirmed,"US,Williamson County, TN"
"New York County, NY",US,40.7128,-74.006,22-01-2019 00:00,0,Confirmed,"US,New York County, NY"
"Montgomery County, MD",US,39.1547,-77.2405,22-01-2019 00:00,0,Confirmed,"US,Montgomery County, MD"
"Suffolk County, MA",US,42.3601,-71.0589,22-01-2019 00:00,0,Confirmed,"US,Suffolk County, MA"
"Denver County, CO",US,39.7392,-104.9903,22-01-2019 00:00,0,Confirmed,"US,Denver County, CO"
"Summit County, CO",US,39.5912,-106.064,22-01-2019 00:00,0,Confirmed,"US,Summit County, CO"
"Bergen County, NJ",US,40.9263,-74.077,22-01-2019 00:00,0,Confirmed,"US,Bergen County, NJ"
"Harris County, TX",US,29.7752,-95.3103,22-01-2019 00:00,0,Confirmed,"US,Harris County, TX"
"San Francisco County, CA",US,37.7749,-122.4194,22-01-2019 00:00,0,Confirmed,"US,San Francisco County, CA"
"Contra Costa County, CA",US,37.8534,-121.9018,22-01-2019 00:00,0,Confirmed,"US,Contra Costa County, CA"
"Orange County, CA",US,33.7879,-117.8531,22-01-2019 00:00,0,Confirmed,"US,Orange County, CA"
"Norfolk County, MA",US,42.1767,-71.1449,22-01-2019 00:00,0,Confirmed,"US,Norfolk County, MA"
"Maricopa County, AZ",US,33.2918,-112.4291,22-01-2019 00:00,0,Confirmed,"US,Maricopa County, AZ"
"Wake County, NC",US,35.8032,-78.5661,22-01-2019 00:00,0,Confirmed,"US,Wake County, NC"
"Westchester County, NY",US,41.122,-73.7949,22-01-2019 00:00,0,Confirmed,"US,Westchester County, NY"
"Grafton County, NH",US,43.9088,-71.826,22-01-2019 00:00,0,Confirmed,"US,Grafton County, NH"
"Hillsborough, FL",US,27.9904,-82.3018,22-01-2019 00:00,0,Confirmed,"US,Hillsborough, FL"
"Placer County, CA",US,39.0916,-120.8039,22-01-2019 00:00,0,Confirmed,"US,Placer County, CA"
"San Mateo, CA",US,37.563,-122.3255,22-01-2019 00:00,0,Confirmed,"US,San Mateo, CA"
"Sonoma County, CA",US,38.578,-122.9888,22-01-2019 00:00,0,Confirmed,"US,Sonoma County, CA"
"Umatilla, OR",US,45.775,-118.7606,22-01-2019 00:00,0,Confirmed,"US,Umatilla, OR"
"Fulton County, GA",US,33.8034,-84.3963,22-01-2019 00:00,0,Confirmed,"US,Fulton County, GA"
"Washington County, OR",US,45.547,-123.1386,22-01-2019 00:00,0,Confirmed,"US,Washington County, OR"
"Snohomish County, WA",US,48.033,-121.8339,22-01-2019 00:00,0,Confirmed,"US,Snohomish County, WA"
"Humboldt County, CA",US,40.745,-123.8695,22-01-2019 00:00,0,Confirmed,"US,Humboldt County, CA"
"Sacramento County, CA",US,38.4747,-121.3542,22-01-2019 00:00,0,Confirmed,"US,Sacramento County, CA"
"San Diego County, CA",US,32.7157,-117.1611,22-01-2019 00:00,0,Confirmed,"US,San Diego County, CA"
"San Benito, CA",US,36.5761,-120.9876,22-01-2019 00:00,0,Confirmed,"US,San Benito, CA"
"Los Angeles, CA",US,34.0522,-118.2437,22-01-2019 00:00,0,Confirmed,"US,Los Angeles, CA"
"Cook County, IL",US,41.7377,-87.6976,22-01-2019 00:00,0,Confirmed,"US,Cook County, IL"
"Skagit, WA",US,48.4242,-121.7114,22-01-2019 00:00,0,Confirmed,"US,Skagit, WA"
"Thurston, WA",US,46.8646,-122.7696,22-01-2019 00:00,0,Confirmed,"US,Thurston, WA"
"Island, WA",US,48.1976,-122.5795,22-01-2019 00:00,0,Confirmed,"US,Island, WA"
"Whatcom, WA",US,48.8787,-121.9719,22-01-2019 00:00,0,Confirmed,"US,Whatcom, WA"
"Marin, CA",US,38.0834,-122.7633,22-01-2019 00:00,0,Confirmed,"US,Marin, CA"
"Calaveras, CA",US,38.196,-120.6805,22-01-2019 00:00,0,Confirmed,"US,Calaveras, CA"
"Stanislaus, CA",US,37.5091,-120.9876,22-01-2019 00:00,0,Confirmed,"US,Stanislaus, CA"
"San Joaquin, CA",US,36.6066,-120.189,22-01-2019 00:00,0,Confirmed,"US,San Joaquin, CA"
"Essex, MA",US,42.632,-70.7829,22-01-2019 00:00,0,Confirmed,"US,Essex, MA"
"Charlton, GA",US,30.7917,-82.0843,22-01-2019 00:00,0,Confirmed,"US,Charlton, GA"
"Collier, FL",US,26.07,-81.4279,22-01-2019 00:00,0,Confirmed,"US,Collier, FL"
"Pinellas, FL",US,27.8764,-82.7779,22-01-2019 00:00,0,Confirmed,"US,Pinellas, FL"
"Alachua, FL",US,29.7938,-82.4944,22-01-2019 00:00,0,Confirmed,"US,Alachua, FL"
"Nassau, FL",US,30.5927,-81.8224,22-01-2019 00:00,0,Confirmed,"US,Nassau, FL"
"Pasco, FL",US,28.3232,-82.4319,22-01-2019 00:00,0,Confirmed,"US,Pasco, FL"
"Dallas, TX",US,32.7767,-96.797,22-01-2019 00:00,0,Confirmed,"US,Dallas, TX"
"Tarrant, TX",US,32.7732,-97.3517,22-01-2019 00:00,0,Confirmed,"US,Tarrant, TX"
"Montgomery, TX",US,30.3883,-95.6963,22-01-2019 00:00,0,Confirmed,"US,Montgomery, TX"
"Middlesex, NJ",US,40.5726,-74.4927,22-01-2019 00:00,0,Confirmed,"US,Middlesex, NJ"
"Jefferson, CO",US,39.58,-105.2663,22-01-2019 00:00,0,Confirmed,"US,Jefferson, CO"
"Multnomah, OR",US,45.5146,-122.5863,22-01-2019 00:00,0,Confirmed,"US,Multnomah, OR"
"Polk, OR",US,44.9267,-123.4919,22-01-2019 00:00,0,Confirmed,"US,Polk, OR"
"Deschutes, OR",US,43.8325,-121.2617,22-01-2019 00:00,0,Confirmed,"US,Deschutes, OR"
"McHenry, IL",US,42.3334,-88.2668,22-01-2019 00:00,0,Confirmed,"US,McHenry, IL"
"Lake, IL",US,42.3689,-87.8272,22-01-2019 00:00,0,Confirmed,"US,Lake, IL"
"Bucks, PA",US,40.4108,-75.2479,22-01-2019 00:00,0,Confirmed,"US,Bucks, PA"
"Hanover, VA",US,37.7772,-77.5161,22-01-2019 00:00,0,Confirmed,"US,Hanover, VA"
"Lancaster, SC",US,34.7253,-80.6771,22-01-2019 00:00,0,Confirmed,"US,Lancaster, SC"
"Sullivan, TN",US,36.4933,-82.3452,22-01-2019 00:00,0,Confirmed,"US,Sullivan, TN"
"Johnson, IN",US,39.4638,-86.1345,22-01-2019 00:00,0,Confirmed,"US,Johnson, IN"
"Howard, IN",US,40.4483,-86.1345,22-01-2019 00:00,0,Confirmed,"US,Howard, IN"
"St. Joseph, IN",US,41.6228,-86.3377,22-01-2019 00:00,0,Confirmed,"US,St. Joseph, IN"
"Knox, NE",US,42.6712,-97.8722,22-01-2019 00:00,0,Confirmed,"US,Knox, NE"
"Stark, OH",US,40.8685,-81.2519,22-01-2019 00:00,0,Confirmed,"US,Stark, OH"
"Anoka, MN",US,45.3293,-93.2197,22-01-2019 00:00,0,Confirmed,"US,Anoka, MN"
"Olmsted, MN",US,43.9952,-92.3814,22-01-2019 00:00,0,Confirmed,"US,Olmsted, MN"
"Summit, UT",US,40.8298,-110.9984,22-01-2019 00:00,0,Confirmed,"US,Summit, UT"
"Fairfield, CT",US,41.256,-73.3709,22-01-2019 00:00,0,Confirmed,"US,Fairfield, CT"
"Litchfield, CT",US,41.7866,-73.2765,22-01-2019 00:00,0,Confirmed,"US,Litchfield, CT"
"Orleans, LA",US,29.9511,-90.0715,22-01-2019 00:00,0,Confirmed,"US,Orleans, LA"
"Pennington, SD",US,43.8901,-102.2548,22-01-2019 00:00,0,Confirmed,"US,Pennington, SD"
"Beadle, SD",US,44.4797,-98.2213,22-01-2019 00:00,0,Confirmed,"US,Beadle, SD"
"Charles Mix, SD",US,43.0985,-98.3965,22-01-2019 00:00,0,Confirmed,"US,Charles Mix, SD"
"Davison, SD",US,43.7242,-98.2213,22-01-2019 00:00,0,Confirmed,"US,Davison, SD"
"Minnehaha, SD",US,43.6632,-96.8351,22-01-2019 00:00,0,Confirmed,"US,Minnehaha, SD"
"Bon Homme, SD",US,42.9815,-97.8722,22-01-2019 00:00,0,Confirmed,"US,Bon Homme, SD"
"Socorro, NM",US,33.8837,-106.7235,22-01-2019 00:00,0,Confirmed,"US,Socorro, NM"
"Bernalillo, NM",US,35.0178,-106.6291,22-01-2019 00:00,0,Confirmed,"US,Bernalillo, NM"
"Oakland, MI",US,42.5922,-83.3362,22-01-2019 00:00,0,Confirmed,"US,Oakland, MI"
"Wayne, MI",US,42.2791,-83.3362,22-01-2019 00:00,0,Confirmed,"US,Wayne, MI"
"New Castle, DE",US,39.5393,-75.6674,22-01-2019 00:00,0,Confirmed,"US,New Castle, DE"
Alabama,US,32.3182,-86.9023,22-01-2019 00:00,0,Confirmed,"US,Alabama"
Puerto Rico,US,18.2208,-66.5901,22-01-2019 00:00,0,Confirmed,"US,Puerto Rico"
Guam,US,13.4443,144.7937,22-01-2019 00:00,0,Confirmed,"US,Guam"
Virgin Islands,US,18.3358,-64.8963,22-01-2019 00:00,0,Confirmed,"US,Virgin Islands"
United States Virgin Islands,US,18.3358,-64.8963,22-01-2019 00:00,0,Confirmed,"US,United States Virgin Islands"
US,US,37.0902,-95.7129,22-01-2019 00:00,0,Confirmed,"US,US"
Washington,US,47.4009,-121.4905,23-01-2019 00:00,0,Confirmed,"US,Washington"
New York,US,42.1657,-74.9481,23-01-2019 00:00,0,Confirmed,"US,New York"
California,US,36.1162,-119.6816,23-01-2019 00:00,0,Confirmed,"US,California"
Massachusetts,US,42.2302,-71.5301,23-01-2019 00:00,0,Confirmed,"US,Massachusetts"
Diamond Princess,US,35.4437,139.638,23-01-2019 00:00,0,Confirmed,"US,Diamond Princess"
Grand Princess,US,37.6489,-122.6655,23-01-2019 00:00,0,Confirmed,"US,Grand Princess"
Georgia,US,33.0406,-83.6431,23-01-2019 00:00,0,Confirmed,"US,Georgia"
Colorado,US,39.0598,-105.3111,23-01-2019 00:00,0,Confirmed,"US,Colorado"
Florida,US,27.7663,-81.6868,23-01-2019 00:00,0,Confirmed,"US,Florida"
New Jersey,US,40.2989,-74.521,23-01-2019 00:00,0,Confirmed,"US,New Jersey"
Oregon,US,44.572,-122.0709,23-01-2019 00:00,0,Confirmed,"US,Oregon"
Texas,US,31.0545,-97.5635,23-01-2019 00:00,0,Confirmed,"US,Texas"
Illinois,US,40.3495,-88.9861,23-01-2019 00:00,0,Confirmed,"US,Illinois"
Pennsylvania,US,40.5908,-77.2098,23-01-2019 00:00,0,Confirmed,"US,Pennsylvania"
Iowa,US,42.0115,-93.2105,23-01-2019 00:00,0,Confirmed,"US,Iowa"
Maryland,US,39.0639,-76.8021,23-01-2019 00:00,0,Confirmed,"US,Maryland"
North Carolina,US,35.6301,-79.8064,23-01-2019 00:00,0,Confirmed,"US,North Carolina"
South Carolina,US,33.8569,-80.945,23-01-2019 00:00,0,Confirmed,"US,South Carolina"
Tennessee,US,35.7478,-86.6923,23-01-2019 00:00,0,Confirmed,"US,Tennessee"
